"","country","year","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"240","Italy","2010",8.525,0.65,24030500,0.0714474776860878,NA
"241","Italy","2011",8.6,0.725,24129750,0.20641930071105,NA
"242","Italy","2012",10.9,0.5,24597750,0.400749549342257,NA
"243","Italy","2013",12.35,0.425,24483500,-0.0987542053824536,NA
"244","Italy","2014",12.825,0.5,24660500,0.24160771348015,NA
"245","Italy","2015",12.025,0.675,24643000,-0.130009513488722,NA
"246","Italy","2016",11.725,0.725,24903000,0.35080639843372,NA
"247","Italy","2017",11.25,0.975,25023750,0.0163005305976223,NA
"248","Italy","2018",10.575,1.1,25025000,-0.0228022682908349,NA
"249","Italy","2019",9.925,1.1,24958500,-0.102974487781655,NA
"250","Italy","2020",9.35,0.8,24008250,-0.818468779257193,NA
"251","Italy","2021",9.55,1.45,24199750,0.440402084275585,NA
"252","Italy","2022",8.1,1.85,24425750,0.076307790617144,NA
"253","Latvia","2005",10.025,1.15635772157844,1048750,NA,12120.9940730831
"254","Latvia","2006",7.025,1.78668633724459,1067250,0.525825048567789,19075.2898748659
"255","Latvia","2007",6.075,1.83553792025665,1083000,0.603749571783699,19873.4424097936
"256","Latvia","2008",7.775,1.43587618702393,1096250,-0.110718181044925,15760.3994885759
"257","Latvia","2009",17.775,0.678823324300055,1065500,-0.858951572759147,7243.72481434441
"258","Latvia","2010",19.625,0.654710721680954,1030000,-0.596358948909091,6742.71232743553
"259","Latvia","2011",16.35,0.991940697245687,1004250,-0.45850742124773,9961.44437311064
"260","Latvia","2012",15.125,1.13033163939849,1003750,-0.0202559420297577,11345.7244798747
"261","Latvia","2013",11.925,1.35845750988063,983750,-0.694066486205154,13364.6617672573
"262","Latvia","2014",10.825,1.25616212675134,964000,-0.591946088913643,12116.5354313046
"263","Latvia","2015",9.825,1.34170705755711,964250,0.261372037935308,12937.6110649059
"264","Latvia","2016",9.725,1.48718942911911,955500,-0.49457568067415,14201.587146416
"265","Latvia","2017",8.75,1.78019393342977,945500,0.0277130064998163,16832.1481612005
"266","Latvia","2018",7.425,2.37436003612856,944000,-0.290032390735023,22408.6388010194
"267","Latvia","2019",6.325,3.05858714642107,930250,-0.266155150045024,28445.5163379832
"268","Latvia","2020",8.1,2.07396708638763,928750,-0.130984044801701,19254.9592248801
"269","Latvia","2021",7.575,2.73445194419454,892750,-0.874335823220851,24401.4234273036
"270","Latvia","2022",6.85,2.81851972271573,904000,0.449647452990241,25479.2079281545
"271","Lithuania","2002",13.8,0.483111105496065,1601000,NA,7736.95658245377
"272","Lithuania","2003",12.475,0.503035085908919,1610500,0.0595757234727421,8085.36632617604
"273","Lithuania","2004",10.9,1.21557108300722,1572750,-0.347697131549356,19106.6049907666
"274","Lithuania","2005",8.275,1.69457363206828,1543250,-0.513407622942111,26144.3534249487
"275","Lithuania","2006",5.8,1.46205949305626,1493000,-0.990786677595674,21872.5132041071
"276","Lithuania","2007",4.275,0.412968837629059,1486750,-0.128743924184376,6143.36007370628
"277","Lithuania","2008",5.85,0.45347726349338,1483750,0.542102449105963,6735.23993244346
"278","Lithuania","2009",13.875,0.637686498774897,1498250,-0.149200054693846,9554.89694824677
"279","Lithuania","2010",17.825,0.679298063647035,1495500,0.352883344009325,10160.178950506
"280","Lithuania","2011",15.4,0.733333105761694,1455250,-1.22500981869433,10666.9294586671
"281","Lithuania","2012",13.425,0.811003345241446,1440500,0.000456722237916728,11681.5304158972
"282","Lithuania","2013",11.825,0.915794637229798,1436750,-0.0347341691179678,13157.1312866125
"283","Lithuania","2014",10.65,1.10615113345213,1445000,0.0368844585278484,15982.1248536819
"284","Lithuania","2015",9.125,1.36339949740595,1434750,-0.086780803184339,19560.8562986674
"285","Lithuania","2016",7.95,1.27644335131329,1432750,-0.138682859074204,18290.2054455457
"286","Lithuania","2017",7.075,1.27405552286049,1409000,-0.387902775133097,17952.4188448371
"287","Lithuania","2018",6.175,1.17566012975204,1412500,0.237094345421408,16610.397853588
"288","Lithuania","2019",6.275,1.69372720007205,1416500,0.0531405902405164,23991.7309856116
"289","Lithuania","2020",8.45,1.79884998613838,1423500,0.124484736684028,25606.7550121759
"290","Lithuania","2021",7.33333333333333,1.89680462378178,1411000,-0.230849052197957,26765.2077386875
"291","Luxembourg","2003",3.675,0.436122723280364,193250,NA,842.762621368843
"292","Luxembourg","2004",5.125,0.502946537582011,198250,0.639764117706449,997.54941690852
"293","Luxembourg","2005",4.525,0.595533173121205,202250,0.499396767097395,1204.82602763287
"294","Luxembourg","2006",4.725,0.830826723423896,204750,0.245701728967449,1701.46312331865
"295","Luxembourg","2007",4.075,1.15676271017768,211250,0.863766066447108,2441.87101376995
"296","Luxembourg","2008",5.05,0.95914229987411,212750,-0.051614550534677,2039.1631650548
"297","Luxembourg","2009",5.15,0.551438596681677,226250,2.09155337268631,1245.97255772229
"298","Luxembourg","2010",4.35,0.849225340522024,228250,0.331858407079646,1943.07028934243
"299","Luxembourg","2011",4.9,1.18944696944548,234500,0.330581531268264,2787.44366794901
"300","Luxembourg","2012",5.15,1.09544828354983,245750,1.57498502444609,2690.00960836751
"301","Luxembourg","2013",5.85,1.01611710530487,251500,0.6004273229662,2557.33258526895
"302","Luxembourg","2014",5.875,1.35536349849557,258250,0.679808624031008,3501.12625842354
"303","Luxembourg","2015",6.65,1.73993643710941,273750,0.878092860929464,4762.06331513352
"304","Luxembourg","2016",6.275,2.01090199585294,277500,0.730567618625546,5579.62036599263
"305","Luxembourg","2017",5.525,2.13315361985612,285500,0.628643514378376,6091.30820491756
"306","Luxembourg","2018",5.625,2.44068716657974,294750,1.1202807213614,7198.52763025681
"307","Luxembourg","2019",5.6,2.40439130915223,304250,0.416346845353669,7315.37876617042
"308","Luxembourg","2020",6.8,2.18682974261882,311250,0.896565582321286,6804.5051731593
"309","Luxembourg","2021",5.25,2.84495899975853,319500,0.0932184165060067,9092.88894900119
"310","Luxembourg","2022",4.6,3.77213163937175,323750,0.704353254280492,12218.0306522952
"311","Malta","2017",4,2.01896333358651,226000,NA,4551.25
"312","Malta","2018",3.65,2.57024052673809,243500,1.78556982052004,6262.25
"313","Malta","2019",3.625,2.342038138267,259000,1.57024615543458,6056.5
"314","Malta","2020",4.375,1.51280017944725,267250,0.194653006273954,4044.5
"315","Malta","2021",3.4,1.96701031766752,272250,0.741133166991036,5362.25
"316","Malta","2022",2.925,2.3684453873751,284750,1.42600899595926,6743
"317","Netherlands","2001",2.275,2.32452795275547,8190000,NA,190341.686372027
"318","Netherlands","2002",2.775,1.70378135198833,8318500,0.413774837022168,141659.413367905
"319","Netherlands","2003",3.7,1.25001788496435,8349250,-0.0927294911290074,104370.147168395
"320","Netherlands","2004",4.6,1.42283822330334,8396750,0.185906600197178,119473.938271124
"321","Netherlands","2005",5.875,1.84792967172229,8212750,-0.491690312045381,151782.916865528
"322","Netherlands","2006",5,2.54312891786239,8254250,0.209342170474485,209952.936646663
"323","Netherlands","2007",4.175,2.8332778258166,8412000,0.463962792887657,238348.975882515
"324","Netherlands","2008",3.675,2.68930521908831,8555000,0.382634130982427,230020.515709823
"325","Netherlands","2009",5.45,1.50697271387735,8874000,0.743383661390965,133762.360993536
"326","Netherlands","2010",6.05,1.37356491304607,8852750,0.0509142349062879,121599.91803247
"327","Netherlands","2011",6.025,1.4719394198892,8859000,0.146942715731891,130380.555431358
"328","Netherlands","2012",6.85,1.20149028832925,8960250,0.226623015348333,107639.773937575
"329","Netherlands","2013",8.225,1.04065583888911,9018250,0.0806782477363263,93848.5995479702
"330","Netherlands","2014",8.425,1.23084291977688,8955500,-0.13849534754509,110228.193182277
"331","Netherlands","2015",7.85,1.46681267984804,8994500,0.0863823883751037,131934.426521005
