"","region","date","unemployment_rate","vacancy_rate","becru","fegap"
"170","Continental",2019-04-01,6.34171341573722,2.37658619404366,3.88221953918407,2.45949387655315
"171","Continental",2019-07-01,6.30975353258736,2.37005077006976,3.86709661359256,2.4426569189948
"172","Continental",2019-10-01,6.30019091111599,2.31851347304174,3.8219206572295,2.4782702538865
"173","Continental",2020-01-01,6.21784569283587,2.08545075298798,3.60097361585553,2.61687207698035
"174","Continental",2020-04-01,6.7158662863794,1.5011734352584,3.17516614744178,3.54070013893762
"175","Continental",2020-07-01,7.42783678456125,1.77288976117871,3.62887527796909,3.79896150659216
"176","Continental",2020-10-01,7.03717862877333,1.90345127360921,3.65990800752616,3.37727062124717
"177","Continental",2021-01-01,7.04345034676527,2.07264497905333,3.82080776753221,3.22264257923306
"178","Continental",2021-04-01,6.80295754706964,2.22094956876179,3.88703301123994,2.9159245358297
"179","Continental",2021-07-01,6.50308362035502,2.5821921297375,4.0978300774319,2.40525354292311
"180","Continental",2021-10-01,6.16587623964212,2.86980266099905,4.20652446087216,1.95935177876996
"181","Continental",2022-01-01,5.94795066258935,3.12718680431114,4.31281263501478,1.63513802757457
"182","Continental",2022-04-01,5.93552851863122,3.30933583542711,4.43200374874682,1.5035247698844
"183","Continental",2022-07-01,6.01306884452581,3.21438044490799,4.39639521741725,1.61667362710856
"184","Continental",2022-10-01,6.02544910584714,3.20342779585578,4.39341452041405,1.63203458543308
"185","Eastern",2000-01-01,NA,NA,NA,NA
"186","Eastern",2000-04-01,NA,NA,NA,NA
"187","Eastern",2000-07-01,NA,NA,NA,NA
"188","Eastern",2000-10-01,NA,NA,NA,NA
"189","Eastern",2001-01-01,6.2,0.697427205232033,2.07943470021028,4.12056529978972
"190","Eastern",2001-04-01,5.9,0.539427695165703,1.78399086361944,4.11600913638056
"191","Eastern",2001-07-01,6.1,0.529056519755265,1.79645338667807,4.30354661332193
"192","Eastern",2001-10-01,6.7,0.567186456393175,1.94939715241258,4.75060284758742
"193","Eastern",2002-01-01,12.7050387097961,0.496417747013395,2.51137545819715,10.1936632515989
"194","Eastern",2002-04-01,10.8216957193292,0.515763659433126,2.36250658950891,8.4591891298203
"195","Eastern",2002-07-01,10.288880102979,0.464406011609379,2.18591348697783,8.1029666160012
"196","Eastern",2002-10-01,10.4521211452529,0.459926321464278,2.19253406583232,8.25958707942062
"197","Eastern",2003-01-01,10.5504241752149,0.468885936252162,2.2241729962512,8.32625117896366
"198","Eastern",2003-04-01,10.7655707711925,0.450939065941956,2.20331941122789,8.56225135996466
"199","Eastern",2003-07-01,10.2707317073171,0.485506246025356,2.23304822947314,8.03768347784394
"200","Eastern",2003-10-01,9.75509404678319,0.65537584302018,2.52848828050511,7.22660576627809
"201","Eastern",2004-01-01,14.1237644936632,0.605795799341606,2.92508413573889,11.1986803579243
"202","Eastern",2004-04-01,13.8301198434319,0.683010267878565,3.07345308391963,10.7566667595122
"203","Eastern",2004-07-01,13.4988054623372,0.765282342481192,3.21409356816433,10.2847118941729
"204","Eastern",2004-10-01,13.2416755736897,0.800897247558696,3.25656590905717,9.98510966463257
"205","Eastern",2005-01-01,9.81360439514932,0.795690371275851,2.79438553616545,7.01921885898387
"206","Eastern",2005-04-01,9.27278491070092,0.816076611252107,2.7508731135395,6.52191179716142
"207","Eastern",2005-07-01,8.48973745366015,0.853160040571152,2.69130168327579,5.79843577038436
"208","Eastern",2005-10-01,8.55243677269559,0.844393608969188,2.68730775163122,5.86512902106437
"209","Eastern",2006-01-01,8.28688983151011,0.855568826637776,2.6627062567286,5.62418357478151
"210","Eastern",2006-04-01,8.01100049009575,0.863906212014578,2.63073242422059,5.38026806587516
"211","Eastern",2006-07-01,7.94096786804396,0.896099208213218,2.66756349858833,5.27340436945564
"212","Eastern",2006-10-01,7.67617388556121,0.886242579031956,2.60824694793984,5.06792693762136
"213","Eastern",2007-01-01,7.19749289660318,0.924222526555083,2.57916363764707,4.61832925895611
"214","Eastern",2007-04-01,7.00926158523246,0.957678046865517,2.59087165736069,4.41838992787177
"215","Eastern",2007-07-01,6.76058305536772,0.956221855957227,2.54256116476216,4.21802189060556
"216","Eastern",2007-10-01,6.66557558246454,0.942340171427314,2.50624013953998,4.15933544292457
"217","Eastern",2008-01-01,6.51802373002805,0.961960979037244,2.50401367582643,4.01401005420162
"218","Eastern",2008-04-01,6.44926991914271,0.944883304507789,2.46856384824502,3.98070607089769
"219","Eastern",2008-07-01,6.46444795519149,0.877273736467751,2.38140513391824,4.08304282127325
"220","Eastern",2008-10-01,6.82864342745266,0.744853605809314,2.25529148442595,4.57335194302671
"221","Eastern",2009-01-01,8.75863696800868,0.630370295654581,2.34972010568382,6.40891686232486
"222","Eastern",2009-04-01,9.40866964559681,0.544115143568667,2.2626090327328,7.14606061286401
"223","Eastern",2009-07-01,10.1308366423705,0.490820384078633,2.22989262787386,7.90094401449666
"224","Eastern",2009-10-01,10.6085164006112,0.443337299296314,2.16867494350528,8.43984145710596
"225","Eastern",2010-01-01,10.9934176613091,0.450546915951498,2.22554497215166,8.7678726891574
"226","Eastern",2010-04-01,10.7984721021683,0.438021708757139,2.17484831704605,8.62362378512222
"227","Eastern",2010-07-01,10.6359295772932,0.440151525504419,2.16365908326686,8.47227049402637
"228","Eastern",2010-10-01,10.5858306602179,0.452960576801585,2.18974061518168,8.39609004503627
"229","Eastern",2011-01-01,10.5393804449608,0.45971915831146,2.20117130348405,8.33820914147679
"230","Eastern",2011-04-01,10.5390805543723,0.441730908203346,2.15764631599136,8.38143423838092
"231","Eastern",2011-07-01,10.5211193932698,0.446987199685894,2.16859532766226,8.35252406560749
"232","Eastern",2011-10-01,10.6664738642524,0.431677739510124,2.14580505318267,8.52066881106973
"233","Eastern",2012-01-01,10.5853533124716,0.415556130442007,2.09733365535676,8.48801965711482
"234","Eastern",2012-04-01,10.6243264277591,0.413167554828728,2.0951436637757,8.52918276398337
"235","Eastern",2012-07-01,10.7252595402732,0.396788163383968,2.06292414664267,8.66233539363055
"236","Eastern",2012-10-01,10.7543216200412,0.393250725009035,2.05648845706985,8.69783316297131
"237","Eastern",2013-01-01,10.862133215061,0.423843020170985,2.1456559247398,8.71647729032116
"238","Eastern",2013-04-01,10.7802843415407,0.427880683915324,2.14771400257579,8.63257033896495
"239","Eastern",2013-07-01,10.5617594463748,0.4473849274706,2.17374607161884,8.38801337475599
"240","Eastern",2013-10-01,10.4083982261571,0.453593858209394,2.1728289185259,8.23556930763123
"241","Eastern",2014-01-01,10.0191700764371,0.489498581581609,2.21458112089868,7.80458895553841
"242","Eastern",2014-04-01,9.59729597415284,0.503149968080481,2.19747108355353,7.39982489059931
"243","Eastern",2014-07-01,9.23885630514967,0.523441358664685,2.19909060679076,7.03976569835892
"244","Eastern",2014-10-01,8.96480017763981,0.55290146245964,2.22635377442029,6.73844640321952
"245","Eastern",2015-01-01,8.73243085501608,0.58927724186732,2.26844060293431,6.46399025208178
"246","Eastern",2015-04-01,8.33228903106403,0.614810560267415,2.26335575805009,6.06893327301394
"247","Eastern",2015-07-01,8.05582186624237,0.627416645407346,2.24818965643847,5.8076322098039
"248","Eastern",2015-10-01,7.80725561521379,0.65977261936896,2.26958443053626,5.53767118467752
"249","Eastern",2016-01-01,7.39742459072866,0.70736036786439,2.28749753655538,5.10992705417329
"250","Eastern",2016-04-01,7.00097517900245,0.734482971498881,2.26761924777147,4.73335593123099
"251","Eastern",2016-07-01,6.78102591207273,0.761572475072237,2.2724970159246,4.50852889614813
"252","Eastern",2016-10-01,6.37502858547565,0.772091159921627,2.21858135192141,4.15644723355424
"253","Eastern",2017-01-01,6.03479052185783,0.822112864554809,2.2273928532957,3.80739766856213
"254","Eastern",2017-04-01,5.74782807612493,0.847056237613152,2.20652070568341,3.54130737044152
"255","Eastern",2017-07-01,5.55055641256011,0.894478070789767,2.22819455876648,3.32236185379363
"256","Eastern",2017-10-01,5.31254607581082,0.940563546683418,2.23534945343758,3.07719662237324
"257","Eastern",2018-01-01,4.98084371969113,0.980686472011262,2.2101235384257,2.77072018126543
"258","Eastern",2018-04-01,4.678011182597,1.02304218883168,2.18764777777939,2.4903634048176
"259","Eastern",2018-07-01,4.60521461587513,1.0259039063817,2.17359326097419,2.43162135490094
"260","Eastern",2018-10-01,4.50930331914141,1.05992830710578,2.18621550476709,2.32308781437432
"261","Eastern",2019-01-01,4.44936490386524,0.995357298012216,2.1044495310132,2.34491537285203
"262","Eastern",2019-04-01,4.20170785308356,0.995112059552157,2.0447909808385,2.15691687224507
"263","Eastern",2019-07-01,4.1334584887848,0.978185567124213,2.01079323552581,2.12266525325899
"264","Eastern",2019-10-01,3.9920230626211,0.965583132762337,1.96332120012625,2.02870186249485
"265","Eastern",2020-01-01,4.16076560375733,0.670871437325656,1.67073002037069,2.49003558338665
"266","Eastern",2020-04-01,4.93381471276463,0.660469898529856,1.80516927259046,3.12864544017417
"267","Eastern",2020-07-01,4.95845317051647,0.706107466530517,1.87114959480625,3.08730357571022
"268","Eastern",2020-10-01,4.83075641175389,0.713628568282396,1.85670831899923,2.97404809275466
"269","Eastern",2021-01-01,4.9664221201316,0.768811325232955,1.95403213173291,3.0123899883987
"270","Eastern",2021-04-01,4.6968629806438,0.896115951794502,2.05156862920741,2.64529435143639
"271","Eastern",2021-07-01,4.32410794003899,0.956106035594575,2.03329921556905,2.29080872446994
"272","Eastern",2021-10-01,4.19685960961141,0.977442410301445,2.0253860304928,2.17147357911862
"273","Eastern",2022-01-01,4.1672285037303,0.992744921597953,2.03396040625586,2.13326809747444
"274","Eastern",2022-04-01,4.0105034808103,0.978732235275208,1.98121403092964,2.02928944988066
"275","Eastern",2022-07-01,3.99807168417268,0.921956664544857,1.91990854848638,2.0781631356863
"276","Eastern",2022-10-01,4.0412100732353,0.898218055457058,1.90522645732073,2.13598361591457
"277","Nordic",2000-01-01,9.33462935693082,NA,NA,NA
"278","Nordic",2000-04-01,8.88143803841678,NA,NA,NA
"279","Nordic",2000-07-01,8.61775698385669,NA,NA,NA
"280","Nordic",2000-10-01,8.29271660367866,NA,NA,NA
"281","Nordic",2001-01-01,8.0981985002978,1.89131934559174,3.91360185609819,4.18459664419961
"282","Nordic",2001-04-01,7.8798043048301,1.49916271591412,3.43702034071677,4.44278396411332
"283","Nordic",2001-07-01,7.92230422745061,1.46643076366567,3.40844695400298,4.51385727344763
"284","Nordic",2001-10-01,8.02946575720488,1.3303256636964,3.26830297900625,4.76116277819863
"285","Nordic",2002-01-01,7.99492602823292,1.50286692844033,3.46631070782151,4.52861532041141
"286","Nordic",2002-04-01,7.8269539627225,1.5862932037166,3.5236123335108,4.30334162921171
"287","Nordic",2002-07-01,7.93532896261069,1.32916050034185,3.24766467085516,4.68766429175553
"288","Nordic",2002-10-01,7.98652407088009,1.29097986009923,3.21098765611205,4.77553641476805
"289","Nordic",2003-01-01,8.08691410757784,1.16450913221237,3.06875957508754,5.0181545324903
"290","Nordic",2003-04-01,8.12546763106282,1.18983203608033,3.10933139043948,5.01613624062334
"291","Nordic",2003-07-01,8.30034527127176,1.15493689353282,3.09618716857565,5.20415810269612
"292","Nordic",2003-10-01,8.63338487159583,1.13432040744276,3.12938087249839,5.50400399909744
"293","Nordic",2004-01-01,8.79394784903804,1.09730852531835,3.10639243270299,5.68755541633506
"294","Nordic",2004-04-01,8.86032043454601,0.988170846765187,2.95897116349859,5.90134927104742
"295","Nordic",2004-07-01,8.81273809403186,1.08321663400858,3.08967708581599,5.72306100821586
